Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($)
453,"108/28 Galileo Gateway, 
BUNDOORA VIC 3083",BUNDOORA,450.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,1870.0
454,"25B/52 Boadle Road, 
BUNDOORA VIC 3083",BUNDOORA,450.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,1870.0
455,"505a/118 Cairnlea Drive, 
CAIRNLEA VIC 3023",CAIRNLEA,450.0,10144.0,2302.3,36.4,7139.0,0.0,0.0,9.0,46.0,18.0,22.0,9.0,43.0,0.0,3.0,2602.0,235.0,173.0,400.0,420.0,58.0,216.0,1024.0
456,"2/37 Rosstown Road, 
CARNEGIE VIC 3163",CARNEGIE,450.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,1306.0
457,"41 ODonnell Drive, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,450.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,1133.0
458,"6 Conder Place, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,450.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,1133.0
459,"4/74 Hall Road, 
CARRUM DOWNS VIC 3201",CARRUM DOWNS,450.0,22262.0,1096.2,36.4,15043.0,0.0,0.0,167.0,59.0,51.0,114.0,16.0,49.0,3.0,16.0,7042.0,1834.0,40.0,370.0,2267.0,39.0,248.0,1022.0
460,"6/19 Snowdon Ave, 
CAULFIELD VIC 3162",CAULFIELD,450.0,40971.0,7386.8,76.8,25978.0,0.0,0.0,49.0,627.0,536.0,223.0,109.0,173.0,19.0,408.0,7171.0,4995.0,5734.0,909.0,5319.0,186.0,1183.0,2941.0
461,"7/88 Addison Street, 
ELWOOD VIC 3184",ELWOOD,490.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,1641.0
462,"4/5 Vautier Street, 
ELWOOD VIC 3184",ELWOOD,490.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,1641.0
463,"8 Argus Esplanade, 
EPPING VIC 3076",EPPING,490.0,33834.0,3899.2,108.1,22572.0,0.0,0.0,188.0,146.0,64.0,143.0,43.0,133.0,12.0,40.0,9430.0,2155.0,314.0,1091.0,3144.0,127.0,828.0,2818.0
464,"70A Hoffmans Road, 
ESSENDON VIC 3040",ESSENDON,490.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,1459.0
465,"1/99 Glass Street, 
ESSENDON VIC 3040",ESSENDON,490.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,1459.0
466,"11/150 Kerr Street, 
FITZROY VIC 3065",FITZROY,490.0,23564.0,12870.9,71.4,17755.0,0.0,0.0,75.0,468.0,158.0,120.0,55.0,320.0,3.0,99.0,1026.0,5087.0,6251.0,932.0,5354.0,232.0,978.0,3306.0
467,"208 Gordon Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,490.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,1233.0
468,"311/16 Clyde Street, 
FRANKSTON VIC 3199",FRANKSTON,490.0,62521.0,4843.5,121.19999999999999,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,2972.0
469,"22 Hudson Avenue, 
FRANKSTON VIC 3199",FRANKSTON,490.0,62521.0,4843.5,121.19999999999999,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,2972.0
470,"92 Moonee Boulevard, 
GLENROY VIC 3046",GLENROY,490.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,2068.0
471,"5/10 Hudson Street, 
COBURG VIC 3058",COBURG,500.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,3730.0
472,"3 Carron Street, 
COBURG VIC 3058",COBURG,500.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,3730.0
473,"4/79 Harding Street, 
COBURG VIC 3058",COBURG,500.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,3730.0
474,"216/3 Hoddle Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,500.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,1693.0
475,"91 Highlander Drive, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,500.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,3852.0
476,"85 Gossia Avenue, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,500.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,3852.0
477,"17 Rossdale Street, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,500.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,3852.0
478,"11 Farrell Street, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,500.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,3852.0
479,"73 Toirram Cres, 
CRANBOURNE VIC 3977",CRANBOURNE,500.0,122174.0,12938.599999999999,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,7201.0
480,"13 Jillian Street, 
CRANBOURNE VIC 3977",CRANBOURNE,500.0,122174.0,12938.599999999999,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,7201.0
481,"21 Villeroy Street, 
MERNDA VIC 3754",MERNDA,580.0,23634.0,2160.9,65.69999999999999,15485.0,0.0,0.0,178.0,94.0,35.0,95.0,15.0,53.0,3.0,58.0,7183.0,755.0,130.0,768.0,2055.0,33.0,552.0,2185.0
482,"11 Southdown Rise, 
MERNDA VIC 3754",MERNDA,580.0,23634.0,2160.9,65.69999999999999,15485.0,0.0,0.0,178.0,94.0,35.0,95.0,15.0,53.0,3.0,58.0,7183.0,755.0,130.0,768.0,2055.0,33.0,552.0,2185.0
483,"4 Reynolds Circuit, 
MERNDA VIC 3754",MERNDA,580.0,23634.0,2160.9,65.69999999999999,15485.0,0.0,0.0,178.0,94.0,35.0,95.0,15.0,53.0,3.0,58.0,7183.0,755.0,130.0,768.0,2055.0,33.0,552.0,2185.0
484,"71 Bentons Road, 
MORNINGTON VIC 3931",MORNINGTON,580.0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,1932.0
485,"1/32 Torroodun Street, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,580.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,2359.0
486,"3/2 Hakea Court, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,580.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,2359.0
487,"12 Selhurst Park Road, 
MULGRAVE VIC 3170",MULGRAVE,580.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,1065.0
488,"30 Mirls Street, 
NEWPORT VIC 3015",NEWPORT,580.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,1598.0
489,"4/150 Woods Street, 
NEWPORT VIC 3015",NEWPORT,580.0,18985.0,2147.5,38.0,12783.0,0.0,0.0,50.0,129.0,58.0,62.0,33.0,70.0,8.0,184.0,4871.0,2323.0,587.0,460.0,2101.0,46.0,496.0,1598.0
490,"71/171 Flemington Road, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,580.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
491,"301/56-58 St Georges Road, 
NORTHCOTE VIC 3070",NORTHCOTE,580.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,3102.0
492,"512/4 Young Street, 
MOONEE PONDS VIC 3039",MOONEE PONDS,630.0,16406.0,3767.1,37.9,11601.0,0.0,0.0,31.0,229.0,123.0,88.0,37.0,115.0,11.0,84.0,3335.0,1260.0,3450.0,400.0,2648.0,72.0,853.0,1456.0
493,"11 Cash Grove, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,630.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,2359.0
494,"1 Louisa Court, 
NARRE WARREN VIC 3805",NARRE WARREN,630.0,52128.0,7667.0,147.8,35723.0,0.0,0.0,122.0,189.0,139.0,211.0,49.0,105.0,24.0,40.0,15242.0,746.0,35.0,1592.0,2387.0,253.0,677.0,4487.0
495,"4.07/69 Flemington Road, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,630.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
496,"2/311 Gaffney Street, 
PASCOE VALE VIC 3044",PASCOE VALE,630.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,1259.0
497,"116 Farrell Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,630.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,1786.0
498,"682 Bell Street, 
PRESTON VIC 3072",PRESTON,630.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
499,"128F Raglan Street, 
PRESTON VIC 3072",PRESTON,630.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
500,"86/88 Park Street, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,630.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
501,"701/99 Palmerston Crescent, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,650.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0
502,"5406/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,630.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
503,"1705/163 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,630.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
504,"3/91 Dodds Street, 
SOUTHBANK VIC 3006",SOUTHBANK,630.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
505,"1201/9 Power Street, 
SOUTHBANK VIC 3006",SOUTHBANK,630.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
506,"1309/241 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,630.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
507,"1106/260 City Rd, 
SOUTHBANK VIC 3006",SOUTHBANK,630.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
508,"D47/1191 Plenty Road, 
BUNDOORA VIC 3083",BUNDOORA,340.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,1870.0
509,"3/25 Shepparson Avenue, 
CARNEGIE VIC 3163",CARNEGIE,340.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,1306.0
510,"11/3 Truganini Road, 
CARNEGIE VIC 3163",CARNEGIE,340.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,1306.0
511,"9/44 Koonawarra Street, 
CLAYTON VIC 3168",CLAYTON,340.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0
512,"2/23 Koonawarra Street, 
CLAYTON VIC 3168",CLAYTON,340.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0
513,"4/44 Koonawarra Street, 
CLAYTON VIC 3168",CLAYTON,340.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,940.0
514,"3/54 McNicholl Way, 
DELAHEY VIC 3037",DELAHEY,340.0,8154.0,2326.1,38.9,5600.0,0.0,0.0,27.0,9.0,4.0,29.0,3.0,21.0,5.0,1.0,2212.0,586.0,125.0,350.0,613.0,32.0,181.0,850.0
515,"Room 6/42 Orwil Street, 
FRANKSTON VIC 3199",FRANKSTON,340.0,62521.0,4843.5,121.19999999999999,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,2972.0
516,"18/848 Pascoe Vale Road, 
GLENROY VIC 3046",GLENROY,340.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,2068.0
517,"3/14 Salisbury Street, 
GLENROY VIC 3046",GLENROY,340.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,2068.0
518,"7/6 Studley Road, 
IVANHOE VIC 3079",IVANHOE,340.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,1510.0
519,"8 Avonmore Close, 
MILL PARK VIC 3082",MILL PARK,340.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,1997.0
520,"132 Juscelina Drive, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,500.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,3852.0
521,"403E/888 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,500.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
522,"409N/883 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,500.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
523,"6/445 St Kilda Street, 
ELWOOD VIC 3184",ELWOOD,500.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,1641.0
524,"13/1044 Mt Alexander Road, 
ESSENDON VIC 3040",ESSENDON,500.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,1459.0
525,"50 Wattle Valley Drive, 
HILLSIDE VIC 3037",HILLSIDE,500.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,1145.0
526,"204/33 Racecourse Road, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,500.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
527,"3 Bevan Court, 
POINT COOK VIC 3030",POINT COOK,500.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,5143.0
528,"304A/6 CLINCH AVENUE, 
PRESTON VIC 3072",PRESTON,500.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,2396.0
529,"7/49-55 Rosella Avenue, 
WERRIBEE VIC 3030",WERRIBEE,370.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,3085.0
530,"33 Chaparral St, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,370.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,2036.0
531,"2/5-7 Princes St, 
ABBOTSFORD VIC 3067",ABBOTSFORD,375.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,1693.0
532,"6 Beachurst Avenue, 
DROMANA VIC 3936",DROMANA,400.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,931.0
533,"6/98 Nicholson Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,375.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,1233.0
534,"14/1-3 McGrath Court, 
RICHMOND VIC 3121",RICHMOND,375.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,1539.0
535,"8/60 Arthur Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,375.0,28123.0,21662.199999999997,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,5129.0
536,"1305E/888 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,700.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
537,"REAR/112 Bell Street, 
COBURG VIC 3058",COBURG,700.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,3730.0
538,"11 Gavinton Place, 
BERWICK VIC 3806",BERWICK,700.0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,1117.0
539,"11 William Street, 
BRUNSWICK VIC 3056",BRUNSWICK,700.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,5812.0
540,"401/9 Florence Street, 
BRUNSWICK VIC 3056",BRUNSWICK,700.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,5812.0
541,"102s/883 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,700.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,1451.0
542,"25 Van Ness Avenue, 
MARIBYRNONG VIC 3032",MARIBYRNONG,700.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,1311.0
543,"137 Mansfield Street, 
THORNBURY VIC 3071",THORNBURY,700.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,1343.0
544,"203/56 Nicholson Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,695.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,1693.0
545,"83/80 Trenerry Cres, 
ABBOTSFORD VIC 3067",ABBOTSFORD,700.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,1693.0
546,"1503/245 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
547,"3305/45 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
548,"1902/118 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
549,"2211/1 Balston Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
550,"905/11 Bale Circuit, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,1432.0
