Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
626,"454 Abbotsford Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,620.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,144.946961,37.795766
627,"5/309 Heidelberg Road, 
NORTHCOTE VIC 3070",NORTHCOTE,360.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,145.009524,37.784025
628,"4/238 Cumberland Road, 
PASCOE VALE VIC 3044",PASCOE VALE,360.0,17409.0,3759.2,36.3,11989.0,0.0,0.0,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,144.937289,37.738051
629,"Rear 111B Spring Street, 
RESERVOIR VIC 3073",RESERVOIR,360.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,,
630,"3/19 Bellevue Street, 
RICHMOND VIC 3121",RICHMOND,360.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.01254,37.824111
631,"3 Walter Street, 
ST ALBANS VIC 3021",ST ALBANS,360.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,144.805562,37.736589
632,"1/23 Broadmeadows Rd, 
TULLAMARINE VIC 3043",TULLAMARINE,360.0,6630.0,1717.8,39.6,4325.0,0.0,0.0,26.0,17.0,25.0,40.0,6.0,25.0,9.0,8.0,1813.0,1297.0,5.0,351.0,922.0,23.0,97.0,144.878831,37.707048
633,"14/266 Melrose Drive, 
TULLAMARINE VIC 3043",TULLAMARINE,360.0,6630.0,1717.8,39.6,4325.0,0.0,0.0,26.0,17.0,25.0,40.0,6.0,25.0,9.0,8.0,1813.0,1297.0,5.0,351.0,922.0,23.0,97.0,,
634,"1/12 Puli Street, 
WERRIBEE VIC 3030",WERRIBEE,360.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.653458,37.90952
635,"1/94 Silvereye Crescent, 
WERRIBEE VIC 3030",WERRIBEE,360.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.675719,37.879149
636,"9 Camden Way, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,360.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,144.631536,37.888196
637,"7/156 Moreland Road, 
BRUNSWICK VIC 3056",BRUNSWICK,380.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,144.963851,37.755397
638,"12/55 De Carle Street, 
BRUNSWICK VIC 3056",BRUNSWICK,380.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,,
639,"45 Henry Street, 
MELTON VIC 3337",MELTON,380.0,29470.0,1696.4,72.0,18722.0,0.0,0.0,314.0,114.0,37.0,80.0,16.0,67.0,9.0,35.0,9829.0,1008.0,77.0,640.0,2756.0,164.0,344.0,144.585204,37.685605
640,"133 Regent Street, 
MERNDA VIC 3754",MERNDA,510.0,23634.0,2160.9,65.69999999999999,15485.0,0.0,0.0,178.0,94.0,35.0,95.0,15.0,53.0,3.0,58.0,7183.0,755.0,130.0,768.0,2055.0,33.0,552.0,145.08052,37.606267
641,"9 Columbia Road, 
NARRE WARREN VIC 3805",NARRE WARREN,510.0,52128.0,7667.0,147.8,35723.0,0.0,0.0,122.0,189.0,139.0,211.0,49.0,105.0,24.0,40.0,15242.0,746.0,35.0,1592.0,2387.0,253.0,677.0,145.305052,38.009806
642,"4 Brimble Street, 
POINT COOK VIC 3030",POINT COOK,510.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,144.774072,37.911998
643,"1/3 Broughton Avenue, 
RESERVOIR VIC 3073",RESERVOIR,510.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.000756,37.723998
644,"25 Mahoney Crescent, 
SEAFORD VIC 3198",SEAFORD,510.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,145.127873,38.11115
645,"88 Darius Terrace, 
SOUTH MORANG VIC 3752",SOUTH MORANG,510.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,145.068428,37.636491
646,"29 Nighthawk Boulevard, 
SOUTH MORANG VIC 3752",SOUTH MORANG,510.0,25227.0,2543.2,72.0,17214.0,0.0,0.0,94.0,101.0,52.0,99.0,25.0,64.0,8.0,55.0,7094.0,1354.0,37.0,780.0,1648.0,38.0,562.0,145.088333,37.637998
647,"1206/283 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,510.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
648,"810/1 Balston Street, 
SOUTHBANK VIC 3006",SOUTHBANK,510.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.962071,37.825883
649,"805/46-50 Haig Street, 
SOUTHBANK VIC 3006",SOUTHBANK,510.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
650,"2/23a Becket Street, 
GLENROY VIC 3046",GLENROY,350.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.912603,37.699543
651,"2/35 Hunter Avenue, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,350.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,144.689172,37.869611
652,"9/86 Marshall Street, 
IVANHOE VIC 3079",IVANHOE,350.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,145.047321,37.768492
653,"34 Charlesworth Street, 
LAVERTON VIC 3028",LAVERTON,350.0,11643.0,523.4,32.2,8591.0,0.0,0.0,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,144.775136,37.859691
654,"1/21 Lakewood Blvd, 
MELTON VIC 3337",MELTON,350.0,29470.0,1696.4,72.0,18722.0,0.0,0.0,314.0,114.0,37.0,80.0,16.0,67.0,9.0,35.0,9829.0,1008.0,77.0,640.0,2756.0,164.0,344.0,144.588308,37.688702
655,"26 Raleighs Road, 
MELTON VIC 3337",MELTON,350.0,29470.0,1696.4,72.0,18722.0,0.0,0.0,314.0,114.0,37.0,80.0,16.0,67.0,9.0,35.0,9829.0,1008.0,77.0,640.0,2756.0,164.0,344.0,144.588523,37.675284
656,"10 Barries Road, 
MELTON VIC 3337",MELTON,350.0,29470.0,1696.4,72.0,18722.0,0.0,0.0,314.0,114.0,37.0,80.0,16.0,67.0,9.0,35.0,9829.0,1008.0,77.0,640.0,2756.0,164.0,344.0,144.584809,37.689848
657,"1309/118 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,690.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
658,"806/118 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,690.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.965251,37.823044
659,"1502b/56 Dorcas, 
SOUTHBANK VIC 3006",SOUTHBANK,690.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
660,"1509/241 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,690.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
661,"1307/8 Waterview Walk, 
DOCKLANDS VIC 3008",DOCKLANDS,695.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.947233,37.819128
662,"64 Guinevere Parade, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,695.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.183914,37.870592
663,"6 Oxley Close, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,695.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.169177,37.900287
664,"103 Ingles Street, 
PORT MELBOURNE VIC 3207",PORT MELBOURNE,695.0,16373.0,5869.7,43.2,11248.0,0.0,0.0,46.0,151.0,173.0,119.0,37.0,122.0,3.0,27.0,522.0,3615.0,4826.0,522.0,3066.0,44.0,379.0,144.946063,37.83322
665,"1/22 Ormond Road, 
ELWOOD VIC 3184",ELWOOD,695.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.986349,37.884643
666,"6/5 Vautier Street, 
ELWOOD VIC 3184",ELWOOD,700.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.987058,37.885559
667,"7/5 Spring Street, 
FITZROY VIC 3065",FITZROY,700.0,23564.0,12870.9,71.4,17755.0,0.0,0.0,75.0,468.0,158.0,120.0,55.0,320.0,3.0,99.0,1026.0,5087.0,6251.0,932.0,5354.0,232.0,978.0,144.976273,37.796477
668,"814/1 Moreland Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,700.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.905578,37.805482
669,"9/92 Cowper Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,700.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.905309,37.798355
670,"2/47A Nolan Street, 
FRANKSTON VIC 3199",FRANKSTON,695.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.120018,38.149701
671,"4 Screen Street, 
FRANKSTON VIC 3199",FRANKSTON,700.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.140925,38.156272
672,"9 Franklin Court, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,700.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.148241,37.88517
673,"2/9 Hinkler Road, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,700.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.172048,37.881121
674,"2/1 Abbot Court, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,700.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.145359,37.893935
675,"8 Henderson Court, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,700.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.170948,37.875399
676,"1/27 Churchill Street, 
GLENROY VIC 3046",GLENROY,700.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.920195,37.702683
677,"1/32 New Street, 
HAMPTON VIC 3188",HAMPTON,700.0,18406.0,3237.8,43.6,11941.0,0.0,0.0,38.0,201.0,125.0,88.0,58.0,88.0,8.0,91.0,4586.0,1710.0,1546.0,471.0,1776.0,64.0,347.0,144.99332,37.931929
678,"54 Sargood Street, 
HAMPTON VIC 3188",HAMPTON,700.0,18406.0,3237.8,43.6,11941.0,0.0,0.0,38.0,201.0,125.0,88.0,58.0,88.0,8.0,91.0,4586.0,1710.0,1546.0,471.0,1776.0,64.0,347.0,145.011325,37.942887
679,"2 Connam Avenue, 
CLAYTON VIC 3168",CLAYTON,580.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,145.14408,37.92026
680,"1801S/889 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,690.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
681,"1617/22 Dorcas Street, 
SOUTHBANK VIC 3006",SOUTHBANK,590.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.96926,37.830454
682,"1714/628 Flinders Street, 
DOCKLANDS VIC 3008",DOCKLANDS,650.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
683,"4005/105 Clarendon st, 
SOUTHBANK VIC 3006",SOUTHBANK,650.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
684,"7 Langs Road, 
ASCOT VALE VIC 3032",ASCOT VALE,650.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,144.906949,37.783514
685,"1908/868 Blackburn Road, 
CLAYTON VIC 3168",CLAYTON,650.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,,
686,"903/20 Shamrock Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,500.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,145.006754,37.810119
687,"106/56 Nicholson St, 
ABBOTSFORD VIC 3067",ABBOTSFORD,500.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,144.996942,37.804233
688,"102/631 Victoria Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,500.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,,
689,"18 Carling Court, 
ALTONA MEADOWS VIC 3028",ALTONA MEADOWS,500.0,18665.0,1770.6,40.9,12311.0,0.0,0.0,67.0,45.0,33.0,56.0,17.0,38.0,13.0,11.0,6570.0,769.0,436.0,341.0,1895.0,52.0,380.0,144.785491,37.890235
690,"2/1 Armadale St, 
ARMADALE VIC 3143",ARMADALE,500.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,145.018257,37.860978
691,"35/30 Leonard Crescent, 
ASCOT VALE VIC 3032",ASCOT VALE,500.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,144.905774,37.78682
692,"G06/20 Leonard Crescent, 
ASCOT VALE VIC 3032",ASCOT VALE,500.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,,
693,"97 Edith Street, 
TARNEIT VIC 3029",TARNEIT,490.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.644269,37.848649
694,"27 Evadene Drive, 
TARNEIT VIC 3029",TARNEIT,490.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.660688,37.84966
695,"10 Synergy Court, 
TAYLORS HILL VIC 3037",TAYLORS HILL,490.0,19800.0,3317.7,34.5,13247.0,0.0,0.0,22.0,64.0,57.0,64.0,14.0,77.0,4.0,9.0,5064.0,823.0,0.0,400.0,707.0,82.0,333.0,144.742726,37.71118
696,"11 Symon Crescent, 
THOMASTOWN VIC 3074",THOMASTOWN,490.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,145.009701,37.685465
697,"3 Almond Court, 
THOMASTOWN VIC 3074",THOMASTOWN,490.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,145.0039,37.680135
698,"4/49 Grange Road, 
TOORAK VIC 3142",TOORAK,490.0,13098.0,3029.6,46.6,8133.0,0.0,0.0,20.0,274.0,346.0,97.0,24.0,79.0,4.0,219.0,2076.0,1395.0,3781.0,490.0,1712.0,3.0,390.0,145.012579,37.83088
699,"11 Bighorn Road, 
TRUGANINA VIC 3029",TRUGANINA,490.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.694312,37.760809
700,"21 Atherton Way, 
WERRIBEE VIC 3030",WERRIBEE,490.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,144.597771,37.90238
701,"213/250 Gore Street, 
FITZROY VIC 3065",FITZROY,720.0,23564.0,12870.9,71.4,17755.0,0.0,0.0,75.0,468.0,158.0,120.0,55.0,320.0,3.0,99.0,1026.0,5087.0,6251.0,932.0,5354.0,232.0,978.0,,
702,"24 Camelot Drive, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,720.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.181508,37.86537
703,"306/25 Small Street, 
HAMPTON VIC 3188",HAMPTON,720.0,18406.0,3237.8,43.6,11941.0,0.0,0.0,38.0,201.0,125.0,88.0,58.0,88.0,8.0,91.0,4586.0,1710.0,1546.0,471.0,1776.0,64.0,347.0,145.001208,37.939392
704,"3 Jacaranda Lane, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,720.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,,
705,"10 Ibis Place, 
MARIBYRNONG VIC 3032",MARIBYRNONG,720.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,144.896751,37.784853
706,"806/5 Blanch Street, 
PRESTON VIC 3072",PRESTON,400.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,144.999703,37.745566
707,"4/71 Barry Street, 
RESERVOIR VIC 3073",RESERVOIR,400.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.003541,37.709421
708,"3/14 Maclagan Crescent, 
RESERVOIR VIC 3073",RESERVOIR,400.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.006921,37.706638
709,"2/81 Delaware Street, 
RESERVOIR VIC 3073",RESERVOIR,400.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.00868,37.719934
710,"9/97-99 Whitelaw Street, 
RESERVOIR VIC 3073",RESERVOIR,400.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,,
711,"3 Ashton Street, 
RESERVOIR VIC 3073",RESERVOIR,400.0,52065.0,10943.5,154.1,35092.0,0.0,0.0,490.0,184.0,112.0,216.0,60.0,165.0,12.0,153.0,14312.0,7827.0,1042.0,1439.0,7466.0,416.0,1900.0,145.020635,37.73154
712,"9/72 Buckingham St, 
RICHMOND VIC 3121",RICHMOND,400.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,145.006867,37.814363
713,"101 Eastern Road, 
SOUTH MELBOURNE VIC 3205",SOUTH MELBOURNE,400.0,11860.0,6276.1,39.5,8599.0,0.0,0.0,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,144.965013,37.832122
714,"1705/33 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,400.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.958802,37.826104
715,"3/132 Power Street, 
ST ALBANS VIC 3021",ST ALBANS,400.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,144.800226,37.730143
716,"5 Acfold Court, 
ST ALBANS VIC 3021",ST ALBANS,400.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,144.783877,37.728751
717,"12 Tashinny Road, 
TOORAK VIC 3142",TOORAK,1100.0,13098.0,3029.6,46.6,8133.0,0.0,0.0,20.0,274.0,346.0,97.0,24.0,79.0,4.0,219.0,2076.0,1395.0,3781.0,490.0,1712.0,3.0,390.0,145.004963,37.844621
718,"202/508 Toorak Road, 
TOORAK VIC 3142",TOORAK,1100.0,13098.0,3029.6,46.6,8133.0,0.0,0.0,20.0,274.0,346.0,97.0,24.0,79.0,4.0,219.0,2076.0,1395.0,3781.0,490.0,1712.0,3.0,390.0,145.029047,37.843556
719,"113/158 Simpson Street, 
EAST MELBOURNE VIC 3002",EAST MELBOURNE,1128.0,4962.0,1711.2,41.8,3592.0,0.0,0.0,6.0,424.0,149.0,70.0,35.0,48.0,0.0,7.0,112.0,696.0,2640.0,480.0,1264.0,52.0,217.0,,
720,"83 Talbot Crescent, 
MALVERN VIC 3144",MALVERN,1250.0,22221.0,2936.7,38.2,14931.0,0.0,0.0,25.0,320.0,184.0,122.0,54.0,103.0,0.0,105.0,4789.0,2224.0,2731.0,421.0,2540.0,205.0,746.0,,
721,"2 Kingston Avenue, 
ASCOT VALE VIC 3032",ASCOT VALE,1150.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,144.904267,37.783592
